date,open,high,low,close
110/04/01,47,48.1,46.55,47.9
110/04/06,48.1,49.9,46.05,49.5
110/04/07,49.15,51.7,48.3,50.5
110/04/08,50.7,52.7,50.1,52.3
110/04/09,52.5,52.7,49,50
110/04/12,52.9,55,52.1,55
110/04/13,55.3,59,54,56.9
110/04/14,58.6,60.4,54.2,59.9
110/04/15,59,60.4,58.2,59
110/04/16,59.9,64.3,58.8,63.3
110/04/19,65,69.5,64.7,68
110/04/20,69,69.3,66,69
110/04/21,69.5,75.9,68.2,75.9
110/04/22,78.9,83,71.9,72.9
110/04/23,74.5,76.2,67.5,69.9
110/04/26,71.8,76.8,71.2,76.8
110/04/27,78.5,80.9,76.5,77.5
110/04/28,79.1,80.4,75.9,76.8
110/04/29,77.8,79,74.6,79
